# BJD-2450000  RV(m/s)  e_RV(m/s) inst
3981.77824   -30.10  7.78 0      
3982.87244  -324.11  7.00 0                
3983.81561   479.98  7.50 0               
3984.89572   826.89  7.31 0               
4023.69226   684.77  7.51 0               
4186.99899   648.04  7.82 0               
4187.10490   631.44  7.01 0                
4187.16062   654.71  7.01 0                
4188.01763   702.91  7.07 0                
4188.16036   721.16  6.89 0                
4189.01112   588.58  6.98 0                
4189.08965   595.95  6.90 0                
4189.15846   563.03  7.74 0                
4216.96014   660.49  8.42 0                
4279.87763   385.93  8.60 0                
4285.82460   109.99  5.58 0                
4294.87944   719.76  5.38 0                
4304.86572   572.48  6.12 0                
4305.87086   712.56  5.79 0                
4306.86596   714.55  6.73 0                
4307.91312   431.68  6.23 0                
4335.81336   514.98  6.04 0                
4546.09892  -749.19  7.11 0                
4547.11644   470.32  7.01 0                
4549.05121   703.45  7.27 0                
4674.87300  -414.16  7.56 0                
4839.16766  -434.87  8.49 0                
5015.87184   671.02  7.68 0               
5350.94646  -535.77  8.44 0                 
5465.74359   572.33  6.25 0                
5703.87377   593.34  7.20 0                
5704.83705   352.59  7.88 0                
5705.85412  -576.45  7.76 0                
5706.83242  -297.52  7.24 0                
5707.84513   472.74  7.11 0                
5808.76049   275.20  7.59 0                
5850.69627   523.64  7.23 0                
5932.16188  -293.59  8.51 0                
5945.12879   548.04  8.76 0                
5992.01927   353.57  9.34 0                
6147.75385   530.50  8.03 0                
6149.73938   340.50  8.10 0
6363.75371   475.78  6.72 1
6377.68020   324.22  6.26 1
6379.64549   606.21  7.02 1
6382.61309  -748.69  4.88 1
6408.64674   509.12  7.12 1
6486.48608   681.54  5.46 1
6506.73501  -433.36  6.92 0
6739.71197   631.73  7.11 1
6792.68537    54.54  7.42 1
6818.69354   645.70  6.22 1
6821.52091  -902.71  8.15 1
6826.75340  -260.46  7.87 0           
6846.75099   589.30  7.45 0                
6849.77045 -1127.73  7.55 0                
6855.77697  -944.75  7.42 0
6861.43830  -778.89  5.31 1
6878.41412  -617.10  5.04 1
7065.15108   408.75  8.60 0
7113.53183   171.63 12.96 1
7115.54159   201.33  9.42 1
7145.54665   712.58  8.31 1
7150.98958   665.96  8.00 0                
7151.13607   643.29  7.47 0
7175.60652    97.74  8.65 1
7179.75967   555.91  7.30 0                
7197.96660   152.27  7.52 0               
7203.93752   -40.41  7.04 0
7207.46144   726.67  7.27 1
7208.44201   502.64  7.83 1
7211.95407   521.48  7.11 0                
7214.05097   439.56  7.91 0                
7254.89941  -246.87  7.60 0                 
7255.88928  -615.73  7.56 0             
7262.72380   489.89  7.54 0                
7294.70464  -933.95  6.59 0                 
7298.70662   484.18  6.55 0                 
7326.68490   459.91  8.23 0                 
7423.18327   278.70  7.76 0
7550.45778   653.85  1.19 1
7624.38987   671.72  1.31 1
7672.70624  -795.90  7.42 0                
7793.17997   518.55  8.04 0
7879.60946   331.82  1.31 1
7891.38229  -237.31  3.64 1
7891.38885  -127.17  3.62 1
7891.39284  -191.79  3.33 1
7891.39647  -180.93  3.36 1
7891.68477  -617.71  3.24 1
7891.69311  -594.11  1.86 1
7953.48534  -218.48  1.21 1
7975.43735   221.07  1.43 1
7989.35655   541.67  1.31 1
8024.41654   775.37  1.20 1
8263.12948  -100.28  6.33 0                 
8386.70729   208.80  6.09 0                
8645.77618   202.41  5.68 0               
8648.86430   586.11  6.54 0                
8648.86713   588.86  6.73 0                
8648.86985   594.18  6.21 0                 
9042.84334   534.45  7.19 0                
9092.71825    58.63  7.35 0
